Run #,App launch,Vehicles API call duration,Page Load Times
1,0.5182620287,0.4026039839,2.123602986
2,0.5270090103,0.3038949966,2.114740014
3,0.5154889822,0.3276689053,2.111629963
4,0.5221890211,0.2964670658,2.137713075
5,0.5191580057,0.3010759354,2.127955914
6,0.5198069811,0.3274689913,2.147480011
7,0.5179430246,0.4405250549,2.148702979
8,0.5120649338,0.2824360132,2.136981964
9,0.5220419168,0.3403830528,2.130991936
10,0.5154260397,0.3059459925,2.129992962
Averages,0.5189389944,0.3328469992,2.13097918
